序号,日期,游戏ID,游戏名称,包月产品名称,包月金额,渠道ID,渠道名称,首订用户数,续订用户数,退订用户数,出账用户数,出账金额
135,20200412,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,2,0,1,10.0
136,20200412,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,1,0,0,0.0
137,20200412,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,3,0,1,10.0
138,20200412,93578,消灭星星全新版,星星豪华大礼包,10,80020320,魅族手机,0,0,0,1,10.0
139,20200412,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,2,0,0,0.0
140,20200412,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,1,0,1,10.0
141,20200413,93578,消灭星星全新版,星星豪华大礼包,10,80011042,三星,0,1,0,1,10.0
142,20200413,93578,消灭星星全新版,星星豪华大礼包,10,83010020,金立游戏大厅,0,0,0,1,10.0
143,20200413,93578,消灭星星全新版,星星豪华大礼包,10,80001024,联想应用商店,0,0,0,1,10.0
144,20200413,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,1,0,7,70.0
145,20200413,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,0,0,1,10.0
146,20200413,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,1,0,22,220.0
147,20200413,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,1,0,11,110.0
148,20200413,93578,消灭星星全新版,星星豪华大礼包,10,80011046,360手机助手,0,0,0,1,10.0
149,20200413,93578,消灭星星全新版,星星豪华大礼包,10,80011049,腾讯应用宝,0,0,0,2,20.0
150,20200413,93578,消灭星星全新版,星星豪华大礼包,10,80020320,魅族手机,0,1,0,2,20.0
151,20200414,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,22,1,10,100.0
152,20200414,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,1,0,0,0.0
153,20200414,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,11,0,0,0.0
154,20200414,93578,消灭星星全新版,星星豪华大礼包,10,80011046,360手机助手,0,1,0,0,0.0
155,20200414,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,7,0,2,20.0
156,20200414,93578,消灭星星全新版,星星豪华大礼包,10,83010020,金立游戏大厅,0,1,0,0,0.0
157,20200414,93578,消灭星星全新版,星星豪华大礼包,10,80011042,三星,0,1,0,0,0.0
158,20200414,93578,消灭星星全新版,星星豪华大礼包,10,80020320,魅族手机,0,2,0,0,0.0
159,20200414,93578,消灭星星全新版,星星豪华大礼包,10,80011049,腾讯应用宝,0,2,0,0,0.0
160,20200414,93578,消灭星星全新版,星星豪华大礼包,10,80001024,联想应用商店,0,1,0,0,0.0
161,20200414,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
162,20200415,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,0,0,2,20.0
163,20200415,93578,消灭星星全新版,星星豪华大礼包,10,80011042,三星,0,0,0,1,10.0
164,20200415,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,10,2,8,80.0
165,20200415,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,2,2,1,10.0
166,20200415,93578,消灭星星全新版,星星豪华大礼包,10,80010226,腾讯QQ浏览器,0,0,0,1,10.0
167,20200415,93578,消灭星星全新版,星星豪华大礼包,10,80010281,金立游戏大厅,0,0,1,0,0.0
168,20200415,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
169,20200415,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,0,1,2,20.0
170,20200416,93578,消灭星星全新版,星星豪华大礼包,10,80010226,腾讯QQ浏览器,0,1,0,0,0.0
171,20200416,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,2,0,0,0.0
172,20200416,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
173,20200416,93578,消灭星星全新版,星星豪华大礼包,10,80020320,魅族手机,0,0,0,2,20.0
174,20200416,,,星星豪华大礼包,10,,,0,0,0,1,10.0
175,20200416,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,8,0,3,30.0
176,20200416,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,0,0,1,10.0
177,20200416,93578,消灭星星全新版,星星豪华大礼包,10,80011042,三星,0,1,0,0,0.0
178,20200416,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,1,0,0,0.0
179,20200416,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,2,1,2,20.0
180,20200417,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
181,20200417,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,2,0,1,10.0
