日期,渠道名称,渠道CODE,游戏名称,游戏ID,游戏收入,运营商来源,下载用户数（本平台）,启动用户数,付费用户数,付费启动转化率,ARPU,ARPPU
20200401,中兴应用商店,83010103,消灭星星全新版,10000895,0,电信,0,1,0,0.00%,0,0
20200401,nubia应用中心,83010107,消灭星星全新版,10000895,0,电信,0,55,0,0.00%,0,0
20200401,魅族游戏中心,83020058,消灭星星中文版,5015173,0,电信,0,3,0,0.00%,0,0
20200401,乐视应用商店,83020126,消灭星星全新版,10000895,0,电信,0,23,0,0.00%,0,0
20200401,腾讯手机管家,83120102,消灭星星全新版,10000895,0,电信,0,78,0,0.00%,0,0
20200401,腾讯手机管家,83120102,僵尸尖叫,5022331,0,电信,0,1,0,0.00%,0,0
20200401,爱游戏渠道,99999999,消灭星星全新版,10000895,0,电信,0,8,0,0.00%,0,0
20200402,聚沙渠道,,PopStar!消灭星星2,10001847,0,移动,0,2,0,0.00%,0,0
20200402,聚沙渠道,,消灭星星全新版,12912,0,电信,0,17,0,0.00%,0,0
20200402,聚沙渠道,,消灭星星全新版,12912,0,移动,0,10,0,0.00%,0,0
20200402,聚沙渠道,,消灭星星全新版,12912,0,联通,0,2,0,0.00%,0,0
20200402,聚沙渠道,,消灭星星中文版,5015173,0,电信,0,7,0,0.00%,0,0
20200402,聚沙渠道,,消灭星星中文版,5015173,0,移动,0,58,0,0.00%,0,0
20200402,聚沙渠道,,波鲁鲁冰雪大冒险,5015317,0,移动,0,1,0,0.00%,0,0
20200402,聚沙渠道,,僵尸尖叫,5022331,0,电信,0,2,0,0.00%,0,0
20200402,聚沙渠道,,僵尸尖叫,5022331,0,移动,0,2,0,0.00%,0,0
20200402,聚沙渠道,,哔哔弹,5097519,0,电信,0,2,0,0.00%,0,0
20200402,聚沙渠道,,哔哔弹,5097519,0,移动,0,7,0,0.00%,0,0
20200402,聚沙渠道,,哔哔弹,5097519,0,联通,0,1,0,0.00%,0,0
20200402,聚沙渠道,,哔哔弹,5097519,10,第三方,0,0,0,0.00%,0,0
20200402,聚沙渠道,,长腿爸爸,5102711,0,联通,0,1,0,0.00%,0,0
20200402,爱游戏客户端,10000000,消灭星星全新版,10000895,0,电信,0,11465,0,0.00%,0,0
20200402,爱游戏客户端,10000000,PopStar!消灭星星2,10001847,0,电信,0,2,0,0.00%,0,0
20200402,爱游戏客户端,10000000,消灭星星全新版,12912,0,电信,0,52,0,0.00%,0,0
20200402,爱游戏客户端,10000000,消灭星星全新版,12912,0,移动,0,81,0,0.00%,0,0
20200402,爱游戏客户端,10000000,消灭星星全新版,12912,0,联通,0,18,0,0.00%,0,0
20200402,爱游戏客户端,10000000,消灭星星中文版,5015173,0,电信,0,2,0,0.00%,0,0
20200402,爱游戏客户端,10000000,消灭星星中文版,5015173,0,移动,0,1,0,0.00%,0,0
20200402,爱游戏客户端,10000000,PopStar消灭星星2社交版,5024639,0,电信,0,1,0,0.00%,0,0
20200402,爱游戏客户端,10000000,点我+1,5054861,0,电信,0,1,0,0.00%,0,0
20200402,爱游戏客户端,10000000,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200402,爱游戏客户端,10000000,哔哔弹,5097519,0,移动,0,2,0,0.00%,0,0
20200402,爱游戏客户端,10000000,哔哔弹,5097519,0,联通,0,2,0,0.00%,0,0
20200402,华为智汇云,80001002,消灭星星全新版,10000895,10,电信,0,33,1,3.03%,0.3,10
20200402,华为智汇云,80001002,消灭星星中文版,5013515,0,电信,0,3,0,0.00%,0,0
20200402,华为智汇云,80001002,消灭星星中文版,5015173,0,电信,0,14,0,0.00%,0,0
20200402,安智市场,80001005,消灭星星全新版,10000895,51,电信,0,90,2,2.22%,0.57,25.5
20200402,豌豆荚,80001013,消灭星星全新版,10000895,0,电信,0,50,0,0.00%,0,0
20200402,豌豆荚,80001013,PopStar!消灭星星2,5003053,0,电信,0,1,0,0.00%,0,0
20200402,豌豆荚,80001013,僵尸尖叫,5022331,0,电信,0,12,0,0.00%,0,0
20200402,豌豆荚,80001013,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200402,搜狐应用中心,80001016,消灭星星全新版,10000895,0,电信,0,1,0,0.00%,0,0
20200402,酷派应用商店,80001017,消灭星星全新版,10000895,40,电信,0,26,1,3.85%,1.54,40
20200402,悠悠村,80001018,消灭星星全新版,10000895,0,电信,0,2,0,0.00%,0,0
20200402,应用汇,80001020,消灭星星全新版,10000895,0,电信,0,20,0,0.00%,0,0
20200402,应用汇,80001020,僵尸尖叫,5022331,0,电信,0,1,0,0.00%,0,0
20200402,小米,80001021,消灭星星全新版,10000895,0,电信,0,6966,0,0.00%,0,0
20200402,小米,80001021,僵尸尖叫,5022331,0,电信,0,15,0,0.00%,0,0
20200402,联想应用商店,80001024,消灭星星全新版,10000895,0,电信,0,137,0,0.00%,0,0
20200402,联想应用商店,80001024,消灭星星中文版,5015173,0,电信,0,1,0,0.00%,0,0
20200402,联想应用商店,80001024,僵尸尖叫,5022331,0,电信,0,1,0,0.00%,0,0
20200402,聚乐,80001026,僵尸尖叫,5022331,0,电信,0,1,0,0.00%,0,0
20200402,拇指玩,80010079,点我+1,5054861,0,电信,0,3,0,0.00%,0,0
20200402,拇指玩,80010079,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200402,百度手机助手,80010082,PopStar！消灭星星（多酷版）,10001262,0,电信,0,1,0,0.00%,0,0
20200402,百度手机助手,80010082,PopStar!消灭星星2,5003053,0,电信,0,1,0,0.00%,0,0
20200402,百度手机助手,80010082,消灭星星中文版,5015173,0,电信,0,14,0,0.00%,0,0
20200402,百度手机助手,80010082,僵尸尖叫,5022331,120,电信,0,130,2,1.54%,0.92,60
20200402,百度手机助手,80010082,僵尸尖叫,5024281,0,电信,0,7,0,0.00%,0,0
20200402,百度手机助手,80010082,点我+1,5054861,0,电信,0,2,0,0.00%,0,0
20200402,4399,80010088,消灭星星全新版,10000895,0,电信,0,51,0,0.00%,0,0
20200402,4399,80010088,消灭星星中文版,5015173,0,电信,0,1,0,0.00%,0,0
20200402,4399,80010088,僵尸尖叫,5022331,0,电信,0,117,0,0.00%,0,0
20200402,4399,80010088,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200402,掌游天下,80010130,消灭星星全新版,10000895,0,电信,0,340,0,0.00%,0,0
20200402,掌游天下,80010130,消灭星星中文版,5013515,0,电信,0,1,0,0.00%,0,0
20200402,掌游天下,80010130,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200402,掌游天下,80010130,长腿爸爸,5102711,0,电信,0,1,0,0.00%,0,0
20200402,OPPO,80010141,消灭星星全新版,10000895,0,电信,0,22368,0,0.00%,0,0
20200402,OPPO,80010141,消灭星星中文版,5013515,0,电信,0,5,0,0.00%,0,0
20200402,OPPO,80010141,消灭星星中文版,5015173,0,电信,0,430,0,0.00%,0,0
20200402,OPPO,80010141,僵尸尖叫,5022331,0,电信,0,1,0,0.00%,0,0
20200402,OPPO,80010141,点我+1,5054861,0,电信,0,1,0,0.00%,0,0
20200402,OPPO,80010141,哔哔弹,5097519,0,电信,0,8,0,0.00%,0,0
20200402,91手机助手（百度）,80010142,消灭星星中文版,5015173,0,电信,0,4,0,0.00%,0,0
20200402,成都当乐,80010160,消灭星星全新版,10000895,0,电信,0,1,0,0.00%,0,0
20200402,柠檬助手,80010201,消灭星星全新版,10000895,0,电信,0,2,0,0.00%,0,0
20200402,柠檬助手,80010201,消灭星星中文版,5015173,0,电信,0,1,0,0.00%,0,0
20200402,腾讯QQ浏览器,80010226,消灭星星全新版,10000895,0,电信,0,33,0,0.00%,0,0
20200402,腾讯QQ浏览器,80010226,消灭星星中文版,5015173,0,电信,0,1,0,0.00%,0,0
20200402,金立游戏大厅,80010281,消灭星星全新版,10000895,0,电信,0,45,0,0.00%,0,0
20200402,卓易市场,80010366,消灭星星全新版,10000895,0,电信,0,6,0,0.00%,0,0
20200402,卓易市场,80010366,消灭星星中文版,5015173,0,电信,0,12,0,0.00%,0,0
20200402,2345手机助手,80010378,消灭星星全新版,10000895,0,电信,0,1,0,0.00%,0,0
20200402,微米,80010466,消灭星星中文版,5015173,0,电信,0,1,0,0.00%,0,0
20200402,三星,80011042,消灭星星全新版,10000895,0,电信,0,154,0,0.00%,0,0
20200402,三星,80011042,消灭星星中文版,5015173,0,电信,0,18,0,0.00%,0,0
20200402,阿里巴巴·九游推广渠道,80011044,消灭星星全新版,10000895,0,电信,0,2,0,0.00%,0,0
20200402,阿里巴巴·九游推广渠道,80011044,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200402,搜狗,80011045,消灭星星全新版,10000895,20,电信,0,147,1,0.68%,0.14,20
20200402,搜狗,80011045,消灭星星中文版,5015173,0,电信,0,5,0,0.00%,0,0
20200402,搜狗,80011045,僵尸尖叫,5022331,0,电信,0,10,0,0.00%,0,0
20200402,360手机助手,80011046,消灭星星全新版,10000895,0,电信,0,561,0,0.00%,0,0
20200402,360手机助手,80011046,PopStar!消灭星星2,5003053,0,电信,0,1,0,0.00%,0,0
20200402,360手机助手,80011046,消灭星星中文版,5015173,0,电信,0,58,0,0.00%,0,0
20200402,360手机助手,80011046,消灭星星中文版,5015173,0,移动,0,7,0,0.00%,0,0
20200402,360手机助手,80011046,消灭星星中文版,5015173,0,联通,0,1,0,0.00%,0,0
20200402,360手机助手,80011046,僵尸尖叫,5022331,0,电信,0,28,0,0.00%,0,0
20200402,360手机助手,80011046,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200402,腾讯应用宝,80011049,消灭星星全新版,10000895,24,电信,0,104,2,1.92%,0.23,12
20200402,腾讯应用宝,80011049,消灭星星中文版,5015173,0,电信,0,43,0,0.00%,0,0
